product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
CSW-001,Catalyst 9200,9200 / 9200L,"C9200-24T, C9200-48T, C9200L-48P-4G, C9200L-24P-4G",Campus Switching,Enterprise / SMB Access Layer,IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-003",Fixed-config access switch; 9200L is fanless/PoE variant. IOS-XE renamed to year-based versioning (26.x.x) from April 2026.,2026-05-28
CSW-002,Catalyst 9300,9300 / 9300L / 9300X,"C9300-48P, C9300-24T, C9300L-24T-4G, C9300X-48HX, C9300X-12Y",Campus Switching,Enterprise Access Layer (primary stackable),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-004",Stackable access layer flagship; 9300X adds 25G/100G uplinks and mGig downlinks.,2026-05-28
CSW-003,Catalyst 9400,9400,"C9407R, C9410R, C9400-SUP-1XL, C9400-SUP-1XL-Y",Campus Switching,Distribution / Core (modular chassis),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-005",Modular chassis; 7- and 10-slot variants. Supports StackWise Virtual.,2026-05-28
CSW-004,Catalyst 9500,9500 / 9500H,"C9500-32C, C9500-48Y4C, C9500-32QC, C9500H-32QC, C9500H-32QC-A",Campus Switching,Distribution / Core (fixed high-density),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-006",Fixed-config high-density core/distribution; 9500H adds higher port density.,2026-05-28
CSW-005,Catalyst 9600,9600,"C9606R, C9610R, C9600-SUP-1, C9600-SUP-2",Campus Switching,Campus Core (large enterprise / modular),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-007",Modular campus core chassis; 6- and 10-slot. SUP-2 adds 400G capability.,2026-05-28
CSW-006,Catalyst 3850,3850 (stackable),"WS-C3850-48P, WS-C3850-24T, WS-C3850-12X48U",Campus Switching,Access / Distribution,IOS-XE,16.12.10,16.12.10,EOL,SRC-008,End-of-Software-Maintenance ~2025. Last release train is 16.12.x (Amsterdam). Migrate to Catalyst 9300.,2026-05-28
CSW-007,Catalyst 3650,3650 (stackable),"WS-C3650-48PS, WS-C3650-24TD, WS-C3650-48FQ",Campus Switching,Access Layer,IOS-XE,16.12.10,16.12.10,EOL,SRC-009,End-of-Software-Maintenance ~2024. Last release train is 16.12.x. Migrate to Catalyst 9300.,2026-05-28
CSW-008,Catalyst 2960-X / 2960-XR,2960-X / 2960-XR,"WS-C2960X-48FPD-L, WS-C2960X-24PD-L, WS-C2960XR-48FPD-I",Campus Switching,Access Layer (SMB / Branch),IOS (Classic),15.2(7)E9,15.2(7)E9,EOL,SRC-010,Runs classic IOS (not IOS-XE). EOL. 2960-XR adds full IP routing. Migrate to Catalyst 9200/1000.,2026-05-28
CSW-009,Catalyst 1000,1000,"C1000-48T-4G-L, C1000-24FP-4G-L, C1000-48FP-4X-L",Campus Switching,Access Layer (SMB),IOS (Classic),15.2(7)E9,15.2(7)E9,Active,SRC-011,Budget-tier fixed-config SMB access switch. Classic IOS only.,2026-05-28
CSW-010,Catalyst 1300,1300,"C1300-24T-4G, C1300-48FP-4X, C1300-24FP-4X",Campus Switching,Access Layer (SMB),IOS-XE (Lite),17.14.1,17.14.1,Active,SRC-012,SMB/small enterprise managed switch; successor to SG350 Smart Switch line.,2026-05-28
CSW-011,Catalyst 6500,6506-E / 6509-E / 6509-V-E / 6513-E,"WS-C6506-E, WS-C6509-E, WS-C6509-V-E, WS-C6513-E",Campus Switching,Campus Core / Distribution (legacy modular chassis),IOS (Sup720 / CatOS),15.5(1)SY3,15.5(1)SY3,EOL,SRC-100,Dominant campus core/distribution platform of 2005-2015 era. Sup720 runs IOS 15.5(1)SY3 (final). EoS 2019; EoSWM reached. Migrate to Catalyst 9500/9600.,2026-05-28
CSW-012,Catalyst 6800,6807-XL / 6840-X / 6880-X,"WS-C6807-XL, C6840-X-LE-40G, C6880-X",Campus Switching,Campus Core / Distribution (enhanced modular chassis),IOS-XE,15.5.1SY,15.5.1SY,EOL,SRC-101,Enhanced/fixed 6500 variant with Sup6T. Introduced 100G capability. EoS announced 2023. EoSWM pending. Migrate to Catalyst 9600.,2026-05-28
CSW-013,Catalyst 4500 / 4500-E / 4500-X,4507R+E / 4510R+E / 4500X-32,"WS-C4507R+E, WS-C4510R+E, WS-C4500X-32SFP+",Campus Switching,Distribution / Access (modular and fixed),IOS-XE,3.11.7E (16.12.7),3.11.7E (16.12.7),EOL,SRC-102,Widely deployed mid-tier modular (4500-E) and fixed (4500-X) distribution/access platform. Sup8-E is the last supervisor. EoS 2020-2023 depending on model. Migrate to Catalyst 9400.,2026-05-28
CSW-014,Catalyst 3750-X / 3750-G,3750X-48P / 3750X-24P / 3750G-48TS,"WS-C3750X-48P, WS-C3750X-24P, WS-C3750G-48TS",Campus Switching,Access / Distribution (stackable legacy),IOS (Classic),15.2(4)E10,15.2(4)E10,EOL,SRC-103,Stackable predecessor to Catalyst 3850. 3750-X introduced StackWise-480. EoS 2015-2016; EoSWM reached 2020-2022. Migrate to Catalyst 9300.,2026-05-28
DCW-001,Nexus 9300,9300-EX / 9300-FX / 9300-FX2 / 9300-GX,"N9K-C9336C-FX2, N9K-C93180YC-EX, N9K-C9364C-GX, N9K-C93600CD-GX",DC Switching,Data Center ToR / Leaf / Access,NX-OS,10.6(3)F,10.6(3)F,Active,"SRC-013,SRC-014",Standalone NX-OS or ACI mode. GX generation adds 400G. Primary Cisco DC leaf platform.,2026-05-28
DCW-002,Nexus 9500,9504 / 9508 / 9516,"N9K-C9504, N9K-C9508, N9K-C9516, N9K-X9716D-GX (linecard)",DC Switching,Data Center Spine / Core,NX-OS,10.6(3)F,10.6(3)F,Active,"SRC-013,SRC-014",Modular spine chassis; ACI or standalone mode. GX linecards support 400G.,2026-05-28
DCW-003,Nexus 7000 / 7700,7004 / 7009 / 7702 / 7706 / 7710 / 7718,"N7K-C7009, N7K-C7706, N7K-C7710, N7K-C7702",DC Switching,Data Center Core / Aggregation,NX-OS,8.4.x,8.4.x,EOL-Pending,"SRC-015,SRC-016",Limited new software. Migrate to Nexus 9500. 7700 is enhanced chassis variant of 7000.,2026-05-28
DCW-004,Nexus 5500 / 5600,5548UP / 5596UP / 5672UP / 56128P,"N5K-C5548UP, N5K-C5596UP, N5K-C56128P",DC Switching,Data Center ToR / FEX Parent,NX-OS,7.3.x,7.3.x,EOL,SRC-039,End of SW maintenance. Migrate to Nexus 9300. Was commonly paired with Nexus 2000 FEX.,2026-05-28
DCW-005,Nexus 3000 / 3100 / 3200,3048 / 3064 / 3132 / 3172 / 3232 / 3264,"N3K-C3064PQ, N3K-C3132Q, N3K-C3172PQ, N3K-C3232C",DC Switching,Data Center ToR / Leaf,NX-OS,10.5(5)M,10.6(2)F,Active,"SRC-017,SRC-018",High-density low-latency ToR switches. 3232C/3264Q are 100G leaf platforms.,2026-05-28
DCW-006,Nexus 3500,3524 / 3548,"N3K-C3524P-10G, N3K-C3548P",DC Switching,Data Center ToR (ultra-low latency),NX-OS,7.0(3)I7.x,7.0(3)I7.x,EOL-Pending,SRC-017,Purpose-built for HFT / low-latency workloads. Older platform; limited updates.,2026-05-28
DCW-007,Nexus 2000 FEX,2148 / 2232 / 2248 / 2348,"N2K-C2232PP, N2K-C2248TP, N2K-C2348UPQ",DC Switching,Data Center Server Access (Fabric Extender),NX-OS (managed by parent),Inherits parent switch NX-OS,Inherits parent switch NX-OS,Active,SRC-039,Fabric Extender - no standalone management. Managed from parent Nexus 5K/7K. Acts as remote line card.,2026-05-28
ERT-001,ISR 4000,4321 / 4331 / 4351 / 4431 / 4451,"ISR4321/K9, ISR4331/K9, ISR4351/K9, ISR4431/K9, ISR4451-X/K9",Enterprise Routing,WAN Edge / Branch Router,IOS-XE,26.1.x,17.15.x,Active,"SRC-019,SRC-023",Modular WAN/branch router with NIM/SM slots. Being superseded by Catalyst 8000 series.,2026-05-28
ERT-002,ISR 1000,1100 / 1101 / 1109 / 1111 / 1117,"C1111-4P, C1117-4PLTEEA, C1109-4PLTE2P",Enterprise Routing,Branch / SOHO Router,IOS-XE,26.1.x,17.15.x,Active,SRC-020,Compact fixed-config branch router; many models include integrated LTE.,2026-05-28
ERT-003,Catalyst 8200,8200 / 8200L,"C8200-1N-4T, C8200-2N-4T, C8200L-1N-4T",Enterprise Routing,WAN Edge / Branch (next-gen ISR),IOS-XE,26.1.x,17.15.x,Active,"SRC-021,SRC-023",Next-generation branch/WAN edge; SD-WAN ready; successor to ISR 4000 lower models.,2026-05-28
ERT-004,Catalyst 8300,8300-1N1S / 8300-2N2S,"C8300-1N1S-4T2X, C8300-2N2S-6T2X, C8300-1N1S-6T",Enterprise Routing,WAN Aggregation / Mid-range Branch,IOS-XE,26.1.x,17.15.x,Active,"SRC-021,SRC-023",Mid-range WAN aggregation; modular NIM/SM slots. SD-WAN capable.,2026-05-28
ERT-005,Catalyst 8500,8500-12X / 8500L,"C8500-12X, C8500-12X4QC, C8500L-8S4X",Enterprise Routing,WAN Core / High-performance Edge,IOS-XE,26.1.x,17.15.x,Active,"SRC-021,SRC-023",High-performance fixed WAN core/aggregation. Replaces ASR 1000 lower-end use cases.,2026-05-28
ERT-006,ASR 1000,1001-X / 1002-X / 1004 / 1006-X / 1009-X,"ASR1001-X, ASR1002-X, ASR1004, ASR1006-X, ASR1009-X",Enterprise Routing,WAN Aggregation / Enterprise Edge,IOS-XE,26.1.x,17.15.x,Active,"SRC-022,SRC-023",High-availability modular WAN aggregation router with ESP/RP modules. ESP handles forwarding.,2026-05-28
ERT-007,CSR 1000V / Catalyst 8000V,CSR 1000V / C8000V (virtual),"CSR1000V, C8000V",Enterprise Routing,Virtual WAN Router (cloud / VM / container),IOS-XE,26.1.x,17.15.x,Active,SRC-021,Software-only virtual router for AWS/Azure/GCP/on-prem hypervisors. C8000V is successor to CSR 1000V.,2026-05-28
ERT-008,ISR G2 2900 Series,2901 / 2911 / 2921 / 2951,"CISCO2901/K9, CISCO2911/K9, CISCO2921/K9, CISCO2951/K9",Enterprise Routing,Branch / WAN Edge Router (legacy),IOS (Classic),15.9(3)M10,15.9(3)M10,EOL,SRC-107,Second-generation ISR (2009-2016 era). Widely deployed WAN edge. Supported NIM/HWIC/PVDM3 modules. EoS 2016-2020; EoSWM reached. Migrate to ISR 4000 or Catalyst 8000.,2026-05-28
ERT-009,ISR G2 3900 Series,3925 / 3945 / 3925E / 3945E,"CISCO3925/K9, CISCO3945/K9, CISCO3925E/K9, CISCO3945E/K9",Enterprise Routing,WAN Aggregation / Branch Router (legacy),IOS (Classic),15.9(3)M10,15.9(3)M10,EOL,SRC-107,High-end second-generation ISR with enhanced performance (E variants added extra packet memory). Popular for WAN aggregation. EoS 2016-2020; EoSWM reached. Migrate to ISR 4000 or Catalyst 8000.,2026-05-28
SPR-001,ASR 9000,9001 / 9006 / 9010 / 9901 / 9904 / 9906 / 9912 / 9922,"ASR-9001, ASR-9006, ASR-9904, ASR-9912",SP Routing,Service Provider Core / Peering / Aggregation,IOS-XR,26.1.1,25.4.2,Active,"SRC-025,SRC-027",Carrier-grade modular SP router. Runs IOS-XR. Widely deployed as PE/P routers in SP networks.,2026-05-28
SPR-002,NCS 5500,55A1 / 55A2 / 5504 / 5508 / 5516,"NCS-55A1-36H-SE, NCS-55A2-MOD, NCS-5504, NCS-5508",SP Routing,SP Core / Metro Aggregation / Peering,IOS-XR,26.1.1,25.4.2,Active,"SRC-026,SRC-027",High-density SP router based on Broadcom Jericho ASIC. Used for SP/DC core and peering.,2026-05-28
SPR-003,NCS 540 / 560,540-24Z8Q2C / 540-28Z4C / 560-4,"NCS-540-24Z8Q2C, NCS-560-4, NCS-540L-1Z10G",SP Routing,SP Metro Access / Aggregation,IOS-XR,7.11.x,25.x,Active,SRC-027,Fixed-config SP metro/access routers; replaces older ASR 901/903 in metro deployments.,2026-05-28
SPR-004,NCS 5000,5001 / 5002,"NCS-5001, NCS-5002",SP Routing,SP Metro Aggregation (older),IOS-XR,6.5.x,6.5.x,EOL,SRC-027,Older SP aggregation platform; limited updates. Migrate to NCS 5500.,2026-05-28
