product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
SE001,Cisco Secure Email Gateway,C190 / C380 / C680 / C695 / Virtual (SEGv),"C380-K9, C680-K9, C695-K9, SEG-VIRT-K9",Security,Email Security / Anti-Spam / Anti-Malware / DLP (on-prem),AsyncOS (Email),16.0.4 HP2,16.0.4 HP2,Active,"SRC-078,SRC-079","Formerly Cisco Email Security Appliance (ESA). Inbound/outbound email filtering, AMP, URL filtering, DLP. Physical appliances or virtual. Managed standalone or via Secure Email and Web Manager.",2026-05-28
SE002,Cisco Secure Email Cloud Gateway,Cloud-delivered SaaS,No hardware PID — cloud subscription,Security,Cloud Email Security / Anti-Spam / Anti-Malware / DLP (SaaS),AsyncOS (Email) / SaaS,16.0.4 (underlying platform),16.0.4 (underlying platform),Active,SRC-078,"Cloud-delivered version of Secure Email Gateway. Same AsyncOS platform, Cisco-hosted. Replaces Cisco Cloud Email Security (CES).",2026-05-28
SE003,Cisco Secure Web Appliance,S190 / S380 / S680 / S695 / Virtual (SWAv),"S380-K9, S680-K9, S695-K9, SWA-VIRT-K9",Security,Web Proxy / URL Filtering / Malware Protection / CASB (on-prem),AsyncOS (Web),15.2.3 HP1,15.2.3 HP1,Active,SRC-080,"Formerly Cisco Web Security Appliance (WSA). On-premise explicit and transparent web proxy. AMP, URL categorisation, SSL inspection, WCCP. Physical or virtual.",2026-05-28
SE004,Cisco Secure Email and Web Manager,M380 / M680 / M695 / Virtual (SMAv),"M380-K9, M680-K9, SMA-VIRT-K9",Security,Centralised Management for SEG and SWA,AsyncOS (Management),15.x,15.x,Active,SRC-081,"Formerly Cisco Security Management Appliance (SMA). Central reporting, tracking, spam quarantine, and policy management for multiple Secure Email and Web Appliances.",2026-05-28
SE005,Cisco Secure Endpoint (Connector),Windows / Mac / Linux / Android / iOS connector,AMP-ENDPT-PREM-1Y (licence); SW download,Security,Endpoint Detection and Response (EDR) / AMP,Secure Endpoint Connector,8.5.x (connector agent),8.5.x (connector agent),Active,SRC-082,"Formerly Cisco AMP for Endpoints. EDR/EPP connector installed on endpoints. Cloud-managed via Secure Endpoint console. Retrospective detection, threat hunting, device trajectory. Connector version separate from console version.",2026-05-28
SE006,Cisco Secure Endpoint Private Cloud,Private Cloud Appliance (on-prem console),CSEP-PC-VIRT-K9 (virtual appliance),Security,On-prem EDR Management Console,Secure Endpoint Private Cloud OS,SaaS-equivalent (console 5.4.x),SaaS-equivalent (console 5.4.x),Active,SRC-082,On-premises deployment of Cisco Secure Endpoint management console for air-gapped or data-sovereignty environments.,2026-05-28
SE007,Cisco XDR (Extended Detection and Response),XDR Platform (SaaS),No hardware PID — SaaS subscription,Security,Threat Detection / Investigation / Response (XDR / SOC Platform),SaaS (continuous delivery),2.64 (as of April 2026),2.64 (as of April 2026),Active,SRC-083,"Cloud-native XDR platform correlating telemetry across network, endpoint, email, cloud. Integrates with Secure Firewall, Secure Endpoint, Umbrella, ISE, third-party tools. Replaces and evolves SecureX.",2026-05-28
SE008,Cisco Secure Access (SASE / SSE),Cisco Secure Access (SaaS),No hardware PID — SaaS subscription,Security,Secure Access Service Edge (SASE) / Security Service Edge (SSE) / ZTNA,SaaS (continuous delivery),2026.1.x (continuous),2026.1.x (continuous),Active,SRC-084,"Cisco's cloud-delivered SSE/SASE platform. Combines ZTNA, SWG, CASB, FWaaS, and DNS security. Integrates with Cisco SD-WAN for full SASE. Built on Umbrella + Duo + acquisitions.",2026-05-28
SE009,Cisco Multicloud Defense,Multicloud Defense (SaaS + cloud-native),No hardware PID — SaaS / cloud-native,Security,Cloud Workload Firewall / East-West Cloud Security,SaaS (continuous delivery),Continuous delivery,Continuous delivery,Active,SRC-083,Formerly Valtix (acquired 2023). Deploys cloud-native firewall gateways in AWS/Azure/GCP for cloud workload protection. Managed via Multicloud Defense controller.,2026-05-28
SE010,Cisco ISA 3000 (Industrial Security Appliance),ISA 3000,"ISA3000-2C2F-K9, ISA3000-4C-K9",Security,OT / ICS Network Segmentation Firewall,ASA OS / FTD,ASA OS 9.14.x,FTD 7.x,Active,SRC-085,Industrial form-factor security appliance for OT/ICS environments. Supports ASA or FTD mode. DIN-rail mountable. Integrates with Cisco Cyber Vision for OT visibility.,2026-05-28
SE011,Cisco Cyber Vision,Cyber Vision Sensor + Center (on-prem or cloud),"CV-CTR-VIRT-K9 (virtual center), sensor embedded in IE/IR/IC switches",Security,OT / ICS / IoT Asset Visibility and Threat Detection,Cyber Vision OS,4.x,4.x,Active,SRC-086,"Passively monitors OT/ICS networks for asset discovery, vulnerability assessment, and threat detection. Sensors embedded in Catalyst IE switches and IR routers. Center is the management platform.",2026-05-28
SE012,Cisco Secure Firewall Management Center (FMC),FMC 1600 / 2600 / 4600 / FMCv (virtual),"FMC1600-K9, FMC2600-K9, FMC4600-K9, FMCv (OVA/QCOW2)",Security,Centralised NGFW Policy and Threat Management,Firepower Management Center OS,10.0,7.6.4 (stable),Active,SRC-087,"On-prem management console for Secure Firewall FTD devices. Required for FTD multi-device management, advanced threat policies, correlation rules. FMCv is virtual version.",2026-05-28
