product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
SFT-001,Cisco Catalyst Center,Catalyst Center (on-prem appliance / cloud SaaS),"DN2-HW-APL, DN2-HW-APL-XL, DN2-HW-APL-2 (appliances); also available as SaaS",Network Management Software,Enterprise Network Automation / Assurance / Provisioning,Catalyst Center OS,3.2.2,3.1.6,Active,SRC-041,"Formerly Cisco DNA Center. Primary intent-based networking controller for Catalyst infrastructure. Manages switches, routers, WLC. Also available as cloud SaaS.",2026-05-28
SFT-002,Cisco Identity Services Engine (ISE),ISE 3.x (VM / hardware appliances),"SNS-3615-K9, SNS-3655-K9, SNS-3695-K9 (appliances); also VM/cloud",Network Management Software,Network Access Control (NAC) / Policy / AAA / Zero Trust,Cisco ISE OS,3.5,3.5,Active,SRC-042,"802.1X, TACACS+, RADIUS, device profiling, guest access, posture. Can be deployed on Cisco SNS appliances or as VMs.",2026-05-28
SFT-003,Cisco Crosswork NSO (Network Services Orchestrator),NSO 6.x,Deployed as VM/container (no hardware PID),Network Management Software,Multi-vendor Network Automation / Orchestration / Service Provisioning,Cisco NSO OS,6.x,2026.02.0 (SMI AFP),Active,SRC-043,Model-driven orchestration using YANG/NETCONF. Used widely in SP and enterprise for automated provisioning. Runs on Linux VMs.,2026-05-28
SFT-004,Cisco Crosswork Network Controller,Crosswork Network Controller 7.x,Deployed as VM/Kubernetes (no hardware PID),Network Management Software,SP / DC WAN Traffic Engineering and Segment Routing Automation,Crosswork OS,7.2.x,7.2.x,Active,SRC-044,Automates SR-TE and RSVP-TE path computation and provisioning. Tightly integrated with IOS-XR platforms.,2026-05-28
SFT-005,Cisco Crosswork Optimization Engine,Crosswork Optimization Engine 5.x,Deployed as VM (no hardware PID),Network Management Software,SP WAN Traffic Optimization / Bandwidth Management,Crosswork OS,5.x,5.x,Active,SRC-044,WAN bandwidth and traffic optimization using SR-TE. Often deployed alongside Crosswork Network Controller.,2026-05-28
SFT-006,Cisco ThousandEyes,ThousandEyes (cloud SaaS + Enterprise Agents),TE-AGENT (software); ThousandEyes vantage points,Network Management Software,Internet / SaaS / WAN Visibility and Network Intelligence,SaaS (continuous delivery),Continuous delivery (no fixed version),Continuous delivery (no fixed version),Active,SRC-046,"Cloud-based monitoring platform. Agents deployed on endpoints, routers, cloud VMs. Acquired by Cisco 2020. Integrates with Catalyst Center.",2026-05-28
SFT-007,Cisco Secure Network Analytics (Stealthwatch),Stealthwatch / Secure Network Analytics 7.x,"SMC-VE (virtual), SMC-2210-K9 (appliance), FC-4210-K9 (Flow Collector)",Network Management Software,Network Traffic Analysis / NDR / Threat Detection,Secure Network Analytics OS,7.6.0,7.6.0,Active,SRC-045,Formerly Stealthwatch. NetFlow-based NDR. Deployed as on-prem VM or appliance. Also available as SaaS (Secure Network Analytics Cloud).,2026-05-28
SFT-008,Cisco Secure Client (AnyConnect),Secure Client 5.x,AnyConnect-plus-perpetual-xxx (license); SW download only,Security Software,Remote Access VPN / Zero Trust Network Access (ZTNA) / Endpoint Security,Cisco Secure Client OS,5.1.x,5.1.x,Active,SRC-047,Formerly AnyConnect. Client software for Windows/macOS/Linux/iOS/Android. VPN + ZTNA + Secure Firewall posture + Umbrella + ThousandEyes modules.,2026-05-28
SFT-009,Cisco Umbrella,Umbrella (cloud SaaS),UMB-DNS-xxx (license SKUs); no hardware,Security Software,DNS-layer Security / Cloud-delivered Secure Web Gateway / CASB / ZTNA,SaaS (continuous delivery),Continuous delivery,Continuous delivery,Active,SRC-048,Cloud-delivered DNS security and Secure Access Service Edge (SASE). Protects users on and off network. Recursive DNS with threat intelligence.,2026-05-28
SFT-010,Cisco Duo Security,Duo (cloud SaaS),DUO-SUB-x (license SKUs); no hardware,Security Software,Multi-Factor Authentication (MFA) / Zero Trust Access,SaaS (continuous delivery),Continuous delivery,Continuous delivery,Active,SRC-048,"Cloud-delivered MFA and device trust. Integrates with VPN, web apps, on-prem apps. Acquired by Cisco 2018.",2026-05-28
SFT-011,Cisco Intersight,Intersight (cloud SaaS + on-prem Intersight Appliance),INTERSIGHT-APPL-D2 (Intersight Appliance); primarily SaaS,Network Management Software,Hybrid Cloud / Data Center Infrastructure Management (DCIM) / UCS Management,SaaS (continuous delivery) / Appliance OS,Continuous delivery,1.0.9-xxx (appliance),Active,SRC-049,"Cisco's cloud-based infrastructure management for UCS, HyperFlex, and third-party compute. Replaces UCS Director for modern deployments.",2026-05-28
