product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
C001,Cisco Unified Communications Manager (CUCM),CUCM 14 / 15 (VM only),UCSS-UCM-STD-1 (license); VM only — runs on Cisco UCS or HyperFlex,Collaboration,Enterprise IP Telephony / Call Control / PBX,Cisco UC OS (Linux-based),15.SU4a,14.SU6,Active,SRC-055,Core call control platform for enterprise voice. CUCM 15 is latest major release. Must run as VM (no physical appliance). Integrates with Webex for hybrid calling.,2026-05-28
C002,Cisco Unity Connection (CUC),CUC 14 / 15 (VM only),UCSS-UNITYCONN-xxx (license); VM only,Collaboration,Enterprise Voicemail / Unified Messaging,Cisco UC OS (Linux-based),15.SU4a,14.SU6,Active,SRC-056,"Voicemail and unified messaging platform. Runs alongside CUCM. VM only. Speech-to-text transcription, email notification, IMAP access.",2026-05-28
C003,Cisco Expressway Series,Expressway-C / Expressway-E,"EXP-BASE-K9 (appliance/VM), BE7H-K9 (Business Edition)",Collaboration,Video / Voice Collaboration Edge (Firewall Traversal / B2B / MRA),Cisco Expressway OS,X15.5.x,X15.5.x,Active,SRC-057,Mobile and Remote Access (MRA) for CUCM endpoints. B2B video federation. Replaces VCS product line. Available as physical appliance or VM.,2026-05-28
C004,Cisco Meeting Server (CMS),CMS 3.x,"CMS-1000 (appliance), CMS-500 (appliance), CMS-VM (virtual)",Collaboration,On-premises Video Conferencing Infrastructure / Bridges,Cisco Meeting Server OS,3.9.x,3.9.x,Active,SRC-058,On-prem video bridging and conference hosting. Runs WebRTC-compatible Spaces. Used alongside Webex for hybrid meetings. Physical and virtual options.,2026-05-28
C005,Cisco IP Phone 6800 Series,6821 / 6841 / 6851 / 6861,"CP-6821-K9, CP-6841-K9, CP-6851-K9",Collaboration,Desktop IP Phone (Mid-range),SIP firmware,12.0(4)SR1,12.0(4)SR1,Active,SRC-059,Mid-range desktop SIP phone for enterprise. Supports both CUCM firmware and MPP (Multiplatform) SIP firmware for third-party call control.,2026-05-28
C006,Cisco IP Phone 7800 Series,7811 / 7821 / 7832 / 7841 / 7861,"CP-7811-K9, CP-7821-K9, CP-7841-K9, CP-7861-K9",Collaboration,Desktop IP Phone (Business),SIP firmware,14.2(1)SR1,14.2(1)SR1,Active,SRC-059,Popular business-grade SIP desktop phone. Available in CUCM firmware or Multiplatform (MPP) SIP variants. Conference phone variant: 7832.,2026-05-28
C007,Cisco IP Phone 8800 Series,8811 / 8841 / 8845 / 8851 / 8865 / 8832,"CP-8811-K9, CP-8845-K9, CP-8865-K9, CP-8832-K9",Collaboration,Desktop IP Phone (Premium / Video),SIP firmware (+ video on 8845/8865),12.0(2),14.2(1)SR1,Active,SRC-060,Premium desktop phones; 8845/8865 include built-in video camera. 8832 is large conference phone. Available in CUCM and MPP variants.,2026-05-28
C008,Cisco Webex Desk / Desk Pro / Desk Mini,Webex Desk Series,"CS-DESK-K9, CS-DESKPRO-K9, CS-DESKMINI-K9",Collaboration,Personal Video Collaboration Device (Desk),RoomOS,RoomOS 26.2,RoomOS 26.2,Active,SRC-062,All-in-one personal video collaboration devices. Webex Desk is base model; Desk Pro has larger screen + dual-screen support; Desk Mini is compact.,2026-05-28
C009,Cisco Webex Board / Board Pro,Webex Board Series,"CS-BOARD55-K9, CS-BOARD70-K9, CS-BOARD55P-K9, CS-BOARD75P-K9",Collaboration,Interactive Whiteboard / Room Video Collaboration,RoomOS,RoomOS 26.2,RoomOS 26.2,Active,SRC-062,"All-in-one interactive whiteboard with video conferencing. Board Pro adds higher resolution and additional ports. Available in 55\ and 75\"" variants.""",2026-05-28
C010,Cisco Room Kit / Room Bar / Room Bar Pro,Webex Room Kit Series,"CS-ROOMKIT-K9, CS-BAR-K9, CS-BARPRO-K9",Collaboration,Video Conferencing Endpoint (Small / Medium Rooms),RoomOS,RoomOS 26.2,RoomOS 26.2,Active,SRC-062,All-in-one video bars for huddle rooms to medium meeting rooms. Room Bar is single-unit bar; Room Bar Pro adds dual screen support.,2026-05-28
C011,Cisco Room Kit EQ / Codec Pro / Codec EQ,Webex Room Kit Pro / EQ,"CS-ROOMKIT-CODEC-PRO, CS-CODEC-EQ",Collaboration,Video Conferencing Endpoint (Large Rooms / Boardrooms),RoomOS,RoomOS 26.2,RoomOS 26.2,Active,SRC-062,Codec-based systems for larger meeting rooms and boardrooms. Paired with external cameras (PTZ/Quad) and touch controllers.,2026-05-28
