product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
DCC-001,Cisco APIC (Application Policy Infrastructure Controller),APIC Cluster (3-node minimum),"APIC-SERVER-L3, APIC-SERVER-M3, APIC-SERVER-SMALL",ACI / DC Automation,DC Network Policy Controller for ACI (Application Centric Infrastructure),APIC OS,6.2(2),6.2(2),Active,"SRC-071,SRC-072",Centralized SDN controller for ACI fabric. Deployed as 3-node cluster. Controls Nexus 9000 switches in ACI mode. Policy-driven DC automation. ACI-mode NX-OS is a separate version track (16.x) from standalone NX-OS (10.x).,2026-05-28
DCC-002,Nexus 9000 in ACI Mode,Nexus 9300 / 9500 (ACI-mode),"N9K-C9336C-FX2, N9K-C93180YC-EX, N9K-C9504 (same hardware as standalone)",ACI / DC Automation,ACI Leaf / Spine (DC Fabric),NX-OS (ACI mode),16.2(2),16.2(2),Active,"SRC-071,SRC-072",Same Nexus 9000 hardware as standalone NX-OS but running ACI-mode firmware. Managed exclusively by APIC. ACI-mode and standalone NX-OS are mutually exclusive — cannot mix on same node.,2026-05-28
DCC-003,Cisco MDS 9100 Series,MDS 9132T / 9148T / 9148V,"DS-C9132T-MEK9, DS-C9148T-24IK9, DS-C9148V-24IVK9",SAN Switching,Small / Mid-size SAN (FC / FCoE),NX-OS (MDS),9.4(5),9.4(5),Active,"SRC-073,SRC-074",Fixed-config SAN switches. 9132T: 32-port 32G FC; 9148T: 48-port 32G FC; 9148V: 48-port FC + NVMe-oF. Common in small-medium DC SAN deployments.,2026-05-28
DCC-004,Cisco MDS 9200 Series,MDS 9220i,DS-C9220I-K9,SAN Switching,Integrated SAN / IP Storage Access,NX-OS (MDS),9.4(5),9.4(5),Active,"SRC-073,SRC-074",Modular 1-slot SAN switch with integrated FC and FCIP. Designed for IP-connected storage. Fixed 2U form factor.,2026-05-28
DCC-005,Cisco MDS 9396 Series,MDS 9396T / 9396V,"DS-C9396T-48EK9, DS-C9396V-48EK9",SAN Switching,High-density SAN (FC / NVMe-oF),NX-OS (MDS),9.4(5),9.4(5),Active,"SRC-073,SRC-074",96-port 32G FC fixed-config SAN switches. 9396V adds NVMe-oF support. High-density 2U platform for mid-to-large SAN fabrics.,2026-05-28
DCC-006,Cisco MDS 9700 Series,MDS 9706 / 9710 / 9718,"DS-C9706, DS-C9710, DS-C9718",SAN Switching,Large Enterprise / SP SAN Core,NX-OS (MDS),9.4(5),9.4(5),Active,"SRC-073,SRC-074","Modular director-class SAN switches. 6-, 10-, and 18-slot chassis. Supports 32G FC and NVMe-oF line cards. FICON qualified. High availability dual supervisor.",2026-05-28
DCC-007,Cisco UCS B-Series Blade Servers,B200 M6 / B200 M7 / B480 M5,"UCSB-B200-M6, UCSB-B200-M7, UCSB-B480-M5",DC Compute,Enterprise / HPC Blade Server (2/4-socket),UCSM / Intersight,UCSM 4.3.x (B-Series),Managed via Intersight,Active,"SRC-075,SRC-076",Half-width / full-width blade servers housed in UCS 5108 chassis. Managed by UCS Manager or Intersight. B200 M7 uses 4th Gen Intel Xeon. Requires UCS Fabric Interconnect.,2026-05-28
DCC-008,Cisco UCS C-Series Rack Servers,C220 M6 / C220 M7 / C240 M6 / C240 M7 / C480 M5,"UCSC-C220-M6N, UCSC-C220-M7L, UCSC-C240-M6N",DC Compute,Enterprise Rack Server (1U/2U),CIMC (standalone) / UCSM / Intersight,4.3.x,6.0 (CIMC/UCSM),Active,"SRC-075,SRC-076","Industry-standard rack servers. C220: 1U 2-socket; C240: 2U storage-optimised. Can be managed standalone via CIMC, in UCS domain via UCSM, or via Intersight. M7 = 4th Gen Intel Xeon Scalable.",2026-05-28
DCC-009,Cisco UCS X-Series Modular System,X9508 Chassis / X210c M7 / X410c M7,"UCSX-9508-D, UCSX-210C-M7, UCSX-410C-M7",DC Compute,Next-gen Modular Compute (Blade replacement),UCSM 6.0 / Intersight,UCSM 6.0,Intersight (SaaS),Active,"SRC-075,SRC-076",Next-generation modular system replacing UCS B-Series. X9508 is 7U chassis. Compute nodes are X210c (2-socket) or X410c (4-socket). Designed for Intersight-managed hybrid cloud. Requires UCS 6536 FI.,2026-05-28
DCC-010,Cisco UCS Fabric Interconnect 6400 Series,6454 / 6464,"UCS-FI-6454-U, UCS-FI-6464-U",DC Compute,UCS Domain Fabric Interconnect (Network Foundation),UCSM,4.3.x,4.3.x,Active,SRC-075,Top-of-rack FI for UCS B/C-Series domains. 6454: 54-port (40x 25G + 14x 40/100G); 6464: 64-port. Runs UCS Manager. Required for UCS blade and rack server domains.,2026-05-28
