product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
IND-001,Cisco Catalyst IE3100 Rugged Series,IE3100 / IE3105,"IE-3100-8T2C, IE-3100-18T2C, IE-3105-8T2C",Industrial Networking,Industrial / Utility Access Layer Switching (DIN-rail),IOS-XE,17.14.x,17.14.x,Active,SRC-088,"Compact DIN-rail industrial switch. Used in utility, oil & gas, and transportation OT networks. IEC 61850-3 / IEEE 1613 certified.",2026-05-28
IND-002,Cisco Catalyst IE3200 Rugged Series,IE3200 / IE3205 / IE3215,"IE-3200-8T2S-E, IE-3200-8P2S-E, IE-3205-18T2C",Industrial Networking,Industrial Access Layer Switching (DIN-rail / rack),IOS-XE,17.15.x,26.1.x,Active,SRC-088,"Industrial-hardened managed switches with IOS-XE. DIN-rail or rack mount. Supports HSR/PRP for IEC 61850 ring protection. Used in substations, factories, transport.",2026-05-28
IND-003,Cisco Catalyst IE3300 Rugged Series,IE3300 / IE3305,"IE-3300-8T2X-E, IE-3300-8P2X-E",Industrial Networking,Industrial Distribution Layer Switching,IOS-XE,17.15.x,26.1.x,Active,SRC-088,Higher-performance industrial switch with 10G uplinks. Distribution layer for OT networks. Supports Parallel Redundancy Protocol (PRP) and DetNet.,2026-05-28
IND-004,Cisco Catalyst IE3400 Rugged Series,IE3400 / IE3400H (Heavy Duty),"IE-3400-8T2S-E, IE-3400-8P2S-E, IE-3400H-8FT (outdoor/heavy duty)",Industrial Networking,Industrial Access / Distribution Switching (extended temp / IP67),IOS-XE,17.15.x,26.1.x,Active,"SRC-088,SRC-089","IE3400 is standard rugged; IE3400H is Heavy Duty for outdoor/harsh environments (IP67 rated). Common in transportation (rail, traffic), utilities, and outdoor deployments.",2026-05-28
IND-005,Cisco Catalyst IE9300 Rugged Series,IE9300 / IE9310 / IE9320,"IE-9300-26S2C, IE-9300-26H2X",Industrial Networking,Next-gen Industrial Distribution / Aggregation Switching,IOS-XE,17.15.x,26.1.x,Active,SRC-090,Latest-generation industrial switch with higher port density and IOS-XE. Aimed at large-scale OT deployments and critical infrastructure aggregation.,2026-05-28
IND-006,Cisco Catalyst IR1101 Rugged Router,IR1101,"IR1101-K9, IR1101-A-K9 (with compute module)",Industrial Networking,Industrial IoT Edge Router / Cell Site Router (compact),IOS-XE,26.1.x,26.1.x,Active,SRC-091,"Compact DIN-rail industrial IoT router. First IoT platform to run IOS-XE. 4G LTE optional. Supports IOx for container-based edge compute apps. Used in smart grid, oil & gas, transit.",2026-05-28
IND-007,Cisco Catalyst IR1800 Rugged Series Routers,IR1800 / IR1821 / IR1831 / IR1833 / IR1835,"IR1821-K9, IR1831-K9, IR1835-K9",Industrial Networking,Industrial WAN Edge / IoT Aggregation Router,IOS-XE,26.1.x,26.1.x,Active,"SRC-091,SRC-092","Ruggedised WAN edge routers for industrial environments. Supports 4G/5G LTE, dual WAN, IOx edge compute. Common in utilities, transportation, and remote industrial sites.",2026-05-28
IND-008,Cisco Catalyst IR8100 Heavy Duty Series,IR8140H / IR8340,"IR8140H-P-K9, IR8340-K9",Industrial Networking,Industrial WAN Aggregation / SD-WAN Edge (large / outdoor),IOS-XE,26.1.x,26.1.x,Active,SRC-091,High-performance outdoor industrial routers. IR8140H is IP30-rated for pole/wall/cabinet mounting. IR8340 is a high-end 19-inch industrial router. Supports SD-WAN persona.,2026-05-28
IND-009,Cisco IW6300 Heavy Duty Series (Wi-Fi 5),IW6300 / IW6300H,"IW-6300H-DCW-E-K9, IW-6300H-AC-E-K9",Industrial Networking,Industrial / Outdoor Wi-Fi 5 (802.11ac) Access Point,IOS (AP firmware),15.3.3-JQ (final maintenance),15.3.3-JQ (final maintenance),EOL-Pending,SRC-093,"Industrial outdoor Wi-Fi 5 AP for factory floors, rail, and outdoor environments. IP67 rated. EOL trajectory — migrate to IW9167.",2026-05-28
IND-010,Cisco Catalyst IW9165 / IW9167 Rugged Series,IW9165E / IW9167EH,"IW9165E-B-AP, IW9167EH-B-AP",Industrial Networking,Industrial Wi-Fi 6 / Wi-Fi 6E Access Point (rugged outdoor),IOS-XE (AP firmware via WLC),17.15.x,26.1.x,Active,SRC-093,"Latest-generation industrial outdoor Wi-Fi 6/6E APs. Managed by Catalyst 9800 WLC. Used in manufacturing, oil & gas, utilities, and outdoor harsh environments. IP67 rated.",2026-05-28
