product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
MRK-001,Meraki MX (Small Branch),MX64 / MX67 / MX68,"MX64-HW, MX67-HW, MX67C-HW (LTE), MX67W-HW (Wi-Fi), MX68-HW, MX68CW-HW",Meraki,Small Branch Security / SD-WAN / Unified Threat Management,Meraki MX firmware,26.1.4,MX 19.2.8,Active,"SRC-064,SRC-065","Cloud-managed security appliance. Includes firewall, IDS/IPS, content filtering, AMP, SD-WAN, AutoVPN. MX67C/MX68C add built-in LTE.",2026-05-28
MRK-002,Meraki MX (Mid-size Branch),MX75 / MX85 / MX95 / MX105,"MX75-HW, MX85-HW, MX95-HW, MX105-HW",Meraki,Mid-size Branch / Campus Security / SD-WAN,Meraki MX firmware,26.1.4,MX 19.2.8,Active,"SRC-064,SRC-065",Higher-throughput branch/campus security appliances. MX105 designed for large branches and medium-sized businesses.,2026-05-28
MRK-003,Meraki MX (Enterprise / DC),MX250 / MX450,"MX250-HW, MX450-HW",Meraki,Enterprise / DC Edge Security / SD-WAN Concentrator,Meraki MX firmware,26.1.4,MX 19.2.8,Active,"SRC-064,SRC-065","High-throughput MX appliances for enterprise campuses, data centers, and SD-WAN hub/concentrator roles.",2026-05-28
MRK-004,Meraki Z (Teleworker Gateway),Z3 / Z3C / Z4 / Z4C,"Z3-HW, Z3C-HW (LTE), Z4-HW, Z4C-HW (LTE)",Meraki,Teleworker / Work-from-Home Secure Gateway,Meraki MX firmware,26.1.4,MX 19.2.8,Active,"SRC-064,SRC-065",Desktop form-factor secure gateway for remote/home workers. Runs MX firmware; managed via Meraki Dashboard. AutoVPN to corporate. Z3C/Z4C include LTE.,2026-05-28
MRK-005,Meraki MS (Access Switches — Small),MS120 / MS130,"MS120-8-HW, MS120-24-HW, MS120-48-HW, MS130-8-HW, MS130-24-HW",Meraki,SMB / Branch Access Layer Switching,Meraki MS firmware,MS 18.1.7,MS 18.1.7,Active,"SRC-064,SRC-066",Cloud-managed access switches for small/branch deployments. PoE variants available across most models. MS130 is latest gen.,2026-05-28
MRK-006,Meraki MS (Access Switches — Mid),MS210 / MS225 / MS250,"MS210-24-HW, MS210-48FP-HW, MS225-24-HW, MS250-48-HW",Meraki,Enterprise Access Layer Switching,Meraki MS firmware,MS 18.1.7,MS 18.1.7,Active,"SRC-064,SRC-066",Mid-range cloud-managed access switches. Includes enhanced PoE options and multi-gig support on select models.,2026-05-28
MRK-007,Meraki MS (Distribution / Aggregation),MS350 / MS355 / MS390,"MS350-24-HW, MS350-48FP-HW, MS355-24X-HW, MS390-24-HW",Meraki,Enterprise Distribution / Aggregation Switching,Meraki MS firmware,MS 18.1.7,MS 18.1.7,Active,"SRC-064,SRC-066",Distribution-layer cloud-managed switches. MS355 adds multi-gig access ports. MS390 is high-performance with ASIC-based forwarding.,2026-05-28
MRK-008,Meraki MS (Core / Data Center),MS410 / MS425 / MS450,"MS410-16-HW, MS425-16-HW, MS425-32-HW, MS450-12-HW",Meraki,Campus Core / DC Access Switching,Meraki MS firmware,MS 18.1.7,MS 18.1.7,Active,"SRC-064,SRC-066",Core/DC-tier cloud-managed switches. MS450 provides 100G uplinks for small DC or campus core.,2026-05-28
MRK-009,Meraki MR (Wi-Fi 5 APs — legacy),MR33 / MR42 / MR52 / MR53,"MR33-HW, MR42-HW, MR52-HW, MR53-HW",Meraki,Wi-Fi 5 (802.11ac Wave 2) Access Points,Meraki MR firmware,MR 32.2.3,MR 32.2.3,EOL-Pending,"SRC-064,SRC-067",Cloud-managed Wi-Fi 5 APs. Most models EOL or nearing end of support. Migrate to MR46/56/57 or newer. Still receive firmware updates.,2026-05-28
MRK-010,Meraki MR (Wi-Fi 6 APs),MR36 / MR44 / MR45 / MR46 / MR55 / MR56,"MR36-HW, MR44-HW, MR46-HW, MR46E-HW (outdoor), MR55-HW, MR56-HW",Meraki,Wi-Fi 6 (802.11ax) Access Points,Meraki MR firmware,MR 32.2.3,MR 32.2.3,Active,"SRC-064,SRC-067",Cloud-managed Wi-Fi 6 APs for indoor and outdoor. MR55/56 are high-density models. MR46E and MR86 are outdoor-rated.,2026-05-28
