product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
CSW-001,Catalyst 9200,9200 / 9200L,"C9200-24T, C9200-48T, C9200L-48P-4G, C9200L-24P-4G",Campus Switching,Enterprise / SMB Access Layer,IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-003",Fixed-config access switch; 9200L is fanless/PoE variant. IOS-XE renamed to year-based versioning (26.x.x) from April 2026.,2026-05-28
CSW-002,Catalyst 9300,9300 / 9300L / 9300X,"C9300-48P, C9300-24T, C9300L-24T-4G, C9300X-48HX, C9300X-12Y",Campus Switching,Enterprise Access Layer (primary stackable),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-004",Stackable access layer flagship; 9300X adds 25G/100G uplinks and mGig downlinks.,2026-05-28
CSW-003,Catalyst 9400,9400,"C9407R, C9410R, C9400-SUP-1XL, C9400-SUP-1XL-Y",Campus Switching,Distribution / Core (modular chassis),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-005",Modular chassis; 7- and 10-slot variants. Supports StackWise Virtual.,2026-05-28
CSW-004,Catalyst 9500,9500 / 9500H,"C9500-32C, C9500-48Y4C, C9500-32QC, C9500H-32QC, C9500H-32QC-A",Campus Switching,Distribution / Core (fixed high-density),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-006",Fixed-config high-density core/distribution; 9500H adds higher port density.,2026-05-28
CSW-005,Catalyst 9600,9600,"C9606R, C9610R, C9600-SUP-1, C9600-SUP-2",Campus Switching,Campus Core (large enterprise / modular),IOS-XE,26.1.x,17.15.5,Active,"SRC-001,SRC-007",Modular campus core chassis; 6- and 10-slot. SUP-2 adds 400G capability.,2026-05-28
CSW-006,Catalyst 3850,3850 (stackable),"WS-C3850-48P, WS-C3850-24T, WS-C3850-12X48U",Campus Switching,Access / Distribution,IOS-XE,16.12.10,16.12.10,EOL,SRC-008,End-of-Software-Maintenance ~2025. Last release train is 16.12.x (Amsterdam). Migrate to Catalyst 9300.,2026-05-28
CSW-007,Catalyst 3650,3650 (stackable),"WS-C3650-48PS, WS-C3650-24TD, WS-C3650-48FQ",Campus Switching,Access Layer,IOS-XE,16.12.10,16.12.10,EOL,SRC-009,End-of-Software-Maintenance ~2024. Last release train is 16.12.x. Migrate to Catalyst 9300.,2026-05-28
CSW-008,Catalyst 2960-X / 2960-XR,2960-X / 2960-XR,"WS-C2960X-48FPD-L, WS-C2960X-24PD-L, WS-C2960XR-48FPD-I",Campus Switching,Access Layer (SMB / Branch),IOS (Classic),15.2(7)E9,15.2(7)E9,EOL,SRC-010,Runs classic IOS (not IOS-XE). EOL. 2960-XR adds full IP routing. Migrate to Catalyst 9200/1000.,2026-05-28
CSW-009,Catalyst 1000,1000,"C1000-48T-4G-L, C1000-24FP-4G-L, C1000-48FP-4X-L",Campus Switching,Access Layer (SMB),IOS (Classic),15.2(7)E9,15.2(7)E9,Active,SRC-011,Budget-tier fixed-config SMB access switch. Classic IOS only.,2026-05-28
CSW-010,Catalyst 1300,1300,"C1300-24T-4G, C1300-48FP-4X, C1300-24FP-4X",Campus Switching,Access Layer (SMB),IOS-XE (Lite),17.14.1,17.14.1,Active,SRC-012,SMB/small enterprise managed switch; successor to SG350 Smart Switch line.,2026-05-28
CSW-011,Catalyst 6500,6506-E / 6509-E / 6509-V-E / 6513-E,"WS-C6506-E, WS-C6509-E, WS-C6509-V-E, WS-C6513-E",Campus Switching,Campus Core / Distribution (legacy modular chassis),IOS (Sup720 / CatOS),15.5(1)SY3,15.5(1)SY3,EOL,SRC-100,Dominant campus core/distribution platform of 2005-2015 era. Sup720 runs IOS 15.5(1)SY3 (final). EoS 2019; EoSWM reached. Migrate to Catalyst 9500/9600.,2026-05-28
CSW-012,Catalyst 6800,6807-XL / 6840-X / 6880-X,"WS-C6807-XL, C6840-X-LE-40G, C6880-X",Campus Switching,Campus Core / Distribution (enhanced modular chassis),IOS-XE,15.5.1SY,15.5.1SY,EOL,SRC-101,Enhanced/fixed 6500 variant with Sup6T. Introduced 100G capability. EoS announced 2023. EoSWM pending. Migrate to Catalyst 9600.,2026-05-28
CSW-013,Catalyst 4500 / 4500-E / 4500-X,4507R+E / 4510R+E / 4500X-32,"WS-C4507R+E, WS-C4510R+E, WS-C4500X-32SFP+",Campus Switching,Distribution / Access (modular and fixed),IOS-XE,3.11.7E (16.12.7),3.11.7E (16.12.7),EOL,SRC-102,Widely deployed mid-tier modular (4500-E) and fixed (4500-X) distribution/access platform. Sup8-E is the last supervisor. EoS 2020-2023 depending on model. Migrate to Catalyst 9400.,2026-05-28
CSW-014,Catalyst 3750-X / 3750-G,3750X-48P / 3750X-24P / 3750G-48TS,"WS-C3750X-48P, WS-C3750X-24P, WS-C3750G-48TS",Campus Switching,Access / Distribution (stackable legacy),IOS (Classic),15.2(4)E10,15.2(4)E10,EOL,SRC-103,Stackable predecessor to Catalyst 3850. 3750-X introduced StackWise-480. EoS 2015-2016; EoSWM reached 2020-2022. Migrate to Catalyst 9300.,2026-05-28
