product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
SM001,Cisco ASR 5000,ASR 5000,"ASR5K-40GE-SMNK9, ASR5K-SMX-K9",SP Mobile Core,SP Mobile Packet Core — 4G LTE (legacy platform),StarOS,21.28.x (legacy train),21.28.x (legacy train),EOL-Pending,SRC-095,"Original ASR 5000 hardware. Runs StarOS. Deployed as SP 4G LTE EPC (MME, SGW, PGW, PCRF). EOL hardware; software still under maintenance. Migrate to ASR 5500 or Ultra Packet Core.",2026-05-28
SM002,Cisco ASR 5500,ASR 5500,"ASR5500-CHAS, ASR5500-DC-PCU, ASR5500-AC-PCU",SP Mobile Core,SP 4G LTE EPC / 5G NSA Core,StarOS,2026.02.x,2026.02.x,Active,"SRC-095,SRC-096","High-capacity carrier-grade platform for 4G EPC and 5G Non-Standalone (NSA) core functions (MME, SGW, PGW, SAEGW, PCRF, ePDG). Widely deployed by Tier-1 SP. New StarOS versioning scheme from 2024: YY.MM format.",2026-05-28
SM003,Cisco ASR 5700,ASR 5700,"ASR5700-CHAS, ASR5700-PCU-AC",SP Mobile Core,SP 4G LTE / 5G NSA Packet Core (high-density),StarOS,2026.02.x,2026.02.x,Active,"SRC-095,SRC-096",Next-generation ASR 5000 family chassis with higher capacity and density. 5G NSA capable. Runs same StarOS as ASR 5500. Used for high-scale SP 4G/5G deployments.,2026-05-28
SM004,Cisco Ultra Packet Core (UPC) — Virtual EPC,VPC-DI (Distributed Instance) / VPC-SI (Single Instance),"VPC-DI-K9, VPC-SI-K9 (virtual — no hardware PID)",SP Mobile Core,Virtualised SP 4G LTE EPC / 5G NSA Core (NFV),StarOS (on VMs),2026.02.x,2026.02.x,Active,SRC-096,"Software-only virtual EPC. Runs on NFVI (OpenStack, VMware). Scales horizontally. VPC-DI is distributed (multi-VM); VPC-SI is single-VM for smaller deployments.",2026-05-28
SM005,Cisco Ultra Cloud Core — AMF (5G SA),UCC AMF (Access and Mobility Management Function),UCC-AMF-K9 (cloud-native; no hardware PID),SP Mobile Core,5G Standalone Core — Access and Mobility,Cloud-native (containerised),2026.x,2026.x,Active,SRC-097,"Cloud-native 5G SA core network function. Replaces 4G MME. Runs on Kubernetes (OpenShift, Rancher). Part of Cisco Ultra Cloud Core 5G SA suite.",2026-05-28
SM006,Cisco Ultra Cloud Core — SMF (5G SA),UCC SMF (Session Management Function),UCC-SMF-K9 (cloud-native; no hardware PID),SP Mobile Core,5G Standalone Core — Session Management,Cloud-native (containerised),2026.x,2026.x,Active,SRC-097,Cloud-native 5G SA core SMF. Replaces 4G PGW-C/SGW-C. Manages PDU sessions. Part of Cisco Ultra Cloud Core 5G SA suite.,2026-05-28
SM007,Cisco Ultra Cloud Core — UPF (5G SA),UCC UPF (User Plane Function),UCC-UPF-K9 (cloud-native; no hardware PID),SP Mobile Core,5G Standalone Core — User Plane / Data Path,Cloud-native (containerised),2026.x,2026.x,Active,SRC-097,Cloud-native 5G SA UPF. High-performance user plane for 5G SA. Replaces PGW-U/SGW-U. Can run on COTS servers or cloud VMs.,2026-05-28
SM008,Cisco Ultra Cloud Core — PCF (5G SA),UCC PCF (Policy Control Function),UCC-PCF-K9 (cloud-native; no hardware PID),SP Mobile Core,5G Standalone Core — Policy Control,Cloud-native (containerised),2026.x,2026.x,Active,SRC-097,Cloud-native 5G SA PCF. Replaces 4G PCRF. Manages QoS and charging policies. Part of Cisco Ultra Cloud Core 5G SA suite.,2026-05-28
SM009,Cisco BroadWorks,BroadWorks Release 26 / 27,"BW-APP-SERVER, BW-FEATURE-SERVER, BW-MEDIA-SERVER (distributed server components)",SP Mobile Core / Collaboration,SP Cloud Calling Platform / UCaaS for Service Providers,BroadWorks OS,Release 26 (Release 27 expected Aug 2026),Release 26 (Release 27 expected Aug 2026),Active,SRC-098,"SP-grade cloud calling and UCaaS platform. Used by SPs to deliver hosted PBX, business calling, and Webex for Cisco BroadWorks. Supports millions of subscribers. Cisco manages per-release support windows.",2026-05-28
SM010,Cisco IoT Control Center (formerly Jasper),Control Center (SaaS),No hardware PID — SaaS subscription,SP Mobile Core,SP IoT / SIM / Connectivity Management Platform,SaaS (continuous delivery),Continuous delivery,Continuous delivery,Active,SRC-099,"Cloud platform for mobile IoT connectivity management. SPs use it to manage SIM lifecycles, data plans, roaming, billing for IoT devices. Acquired with Jasper Technologies 2016.",2026-05-28
SM011,Cisco Network Function Virtualization Infrastructure (NFVI),NFVI / Cisco VIM (Virtual Infrastructure Manager),"NFVI-K9 (stack), CiscoVIM-K9 (VM)",SP Mobile Core,SP NFV Infrastructure / ETSI NFV-compliant Cloud,OpenStack (Cisco VIM),5.x,5.x,Active,SRC-099,"Cisco's ETSI-compliant NFVI stack for deploying SP network functions (VNFs). Based on OpenStack with Cisco hardening. Used as the cloud foundation for VPC, IMS, and other SP VNFs.",2026-05-28
