product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
SP001,ASR 920,920-4SZ-A / 920-12SZ-IM / 920-24SZ-IM / 920U,"ASR-920-4SZ-A, ASR-920-12SZ-IM, ASR-920U-12SZ-IM",SP Routing,SP Metro CE / Mobile Backhaul / Aggregation,IOS-XE,26.1.x,17.15.x,Active,"SRC-051,SRC-023","Compact metro/aggregation router. Used for SP cell site backhaul, business services, and metro CE. Carrier Ethernet features built-in.",2026-05-28
SP002,ASR 901 / 901S,901 / 901S,"ASR901-6CZ-FT-D, ASR901S-4SG-F-D",SP Routing,SP Metro CE / Cell Site Backhaul (small / ruggedized),IOS-XE,17.15.x,17.15.x,EOL-Pending,SRC-052,Compact SP CE router. 901S is the small/ruggedized variant for outdoor enclosures. Being superseded by ASR 920 and NCS 540. Limited new development.,2026-05-28
SP003,ASR 9900,9902 / 9903,"ASR-9902, ASR-9903",SP Routing,SP Ultra High-density Core (fixed chassis),IOS-XR,26.1.1,26.1.1,Active,"SRC-025,SRC-027",Fixed-chassis ultra-high-density variant of ASR 9000 family. Uses Lightspeed/Lightspeed-Plus silicon. High port-density peering/core router.,2026-05-28
SP004,NCS 2000 Series,NCS 2006 / 2015,"NCS2006, NCS2015, NCS2K-MF10x (shelf/module)",Optical Networking,SP ROADM / Optical Line System (OLS) / DWDM,IOS-XR (DWDM controller),26.x (IOS-XR 26.x),26.x (IOS-XR 26.x),Active,SRC-053,Multi-degree ROADM platform. Core optical transport for SP long-haul and metro DWDM networks. Works with NCS 1000 transponders.,2026-05-28
SP005,NCS 4000 Series,NCS 4001 / 4016,"NCS4001, NCS4016",SP Routing / Optical,Converged Packet-Optical Transport (SP Metro),IOS-XR,6.5.35,6.5.35,EOL-Pending,SRC-054,Converged packet-optical platform combining IP/MPLS and OTN. Limited updates; NCS 5500 and NCS 2000 are successor platforms for routing and optical respectively.,2026-05-28
SP006,XRv 9000 (virtual IOS-XR),XRv 9000,XRv9K (VM/QCOW2/OVA),SP Routing,Virtual SP Router (lab / simulation / cloud PE),IOS-XR,26.1.1,26.1.1,Active,SRC-027,"Software-only virtual IOS-XR platform. Used for network emulation, testing, and as a cloud PE in NFV/cloud deployments.",2026-05-28
SP007,Cisco 8800 Series (SP Core),8808 / 8812 / 8818,"8808, 8812, 8818",SP Routing,Hyperscale / SP Core (large modular chassis),IOS-XR,26.1.1,26.1.1,Active,"SRC-024,SRC-027",Large modular variants of the Cisco 8000 family. Based on Silicon One ASIC. Designed for hyperscale peering and SP transit/core.,2026-05-28
SP008,NCS 55A2-MOD / 55A1,NCS 55A1 / 55A2-MOD,"NCS-55A1-36H-SE, NCS-55A2-MOD-SE-S",SP Routing,SP Metro / Aggregation / DC Peering (fixed),IOS-XR,26.1.1,26.1.1,Active,"SRC-026,SRC-027",Fixed-chassis NCS 5500 variants with modular uplink slots. Cost-effective metro aggregation and peering.,2026-05-28
SP009,Cisco Network Convergence System 6000,NCS 6008,NCS6008,SP Routing,SP Core (large chassis — legacy),IOS-XR,6.6.x,6.6.x,EOL,SRC-027,Large SP core router. Succeeded by Cisco 8000 and ASR 9000 next-gen. Limited updates; plan migration.,2026-05-28
SP010,vBNG / BNG (Broadband Network Gateway),BNG on ASR 9000 / vBNG (virtual),ASR-9000 with BNG license; vBNG VM,SP Routing,SP Broadband Subscriber Management (BNG),IOS-XR,26.1.1 (on ASR 9000),26.1.1 (on ASR 9000),Active,"SRC-025,SRC-027","Broadband Network Gateway function for SP subscriber management (PPPoE, IPoE, RADIUS). Runs on ASR 9000 hardware or as a virtual network function (vBNG).",2026-05-28
