product_id,product_family,product_series,example_pids,category,use_case,os_type,latest_version,gold_version,eol_status,source_ids,notes,last_updated
WLS-001,Catalyst 9800-40 WLC,9800-40,C9800-40-K9,Wireless,Campus Wireless LAN Controller (mid-range),IOS-XE,26.1.x,17.15.5,Active,"SRC-028,SRC-029",Hardware WLC for mid-size campus deployments; manages Catalyst 9100 APs.,2026-05-28
WLS-002,Catalyst 9800-80 WLC,9800-80,C9800-80-K9,Wireless,Campus Wireless LAN Controller (large campus),IOS-XE,26.1.x,17.15.5,Active,"SRC-028,SRC-029",Highest-capacity hardware WLC; supports up to 6000 APs.,2026-05-28
WLS-003,Catalyst 9800-L WLC,9800-L,"C9800-L-F-K9, C9800-L-C-K9",Wireless,Branch / Small Campus WLC,IOS-XE,26.1.x,17.15.5,Active,"SRC-028,SRC-029","Compact hardware WLC for branch/small campus; F=fiber uplinks, C=copper.",2026-05-28
WLS-004,Catalyst 9800-CL WLC (virtual),9800-CL,C9800-CL-K9 (OVA/QCOW2),Wireless,Virtual WLC (cloud / on-prem VM),IOS-XE,26.1.x,17.15.5,Active,"SRC-028,SRC-029",Virtual WLC for cloud (AWS/Azure) or on-prem hypervisors.,2026-05-28
WLS-005,Catalyst 9100 APs (Wi-Fi 6),9115 / 9120 / 9130,"C9115AXI-B, C9115AXE-B, C9120AXI-B, C9130AXI-B, C9130AXE-B",Wireless,Wi-Fi 6 (802.11ax) Access Points,AP firmware (IOS-XE via WLC),Tracks 9800 WLC IOS-XE version,Tracks 9800 WLC IOS-XE version,Active,SRC-030,Indoor and outdoor (E variant) Wi-Fi 6 APs. Managed by Catalyst 9800 WLC.,2026-05-28
WLS-006,Catalyst 9100 APs (Wi-Fi 6E / Wi-Fi 7),9136 / 9162 / 9164 / 9166,"C9136I-B, C9162I-MR, C9164I-MR, C9166I-MR",Wireless,Wi-Fi 6E / Wi-Fi 7 (802.11be) Access Points,AP firmware (IOS-XE via WLC),Tracks 9800 WLC IOS-XE version,Tracks 9800 WLC IOS-XE version,Active,SRC-030,High-performance tri-band Wi-Fi 6E and Wi-Fi 7 APs. Requires 9800 WLC 17.18+ for Wi-Fi 7 features.,2026-05-28
WLS-007,Aironet 4800 / 3800 / 2800,4800 / 3802 / 2802,"AIR-AP4800-B-K9, AIR-AP3802I-B-K9, AIR-AP2802I-B-K9",Wireless,Wi-Fi 5 (802.11ac Wave 2) APs (legacy),AireOS 8.10.x (or IOS-XE late),8.10.x (AireOS),8.10.x (AireOS),EOL,SRC-031,Wi-Fi 5 Wave 2 access points; EOL announced. Migrate to Catalyst 9100 series.,2026-05-28
WLS-008,Cisco WLC 5500,5508 / 5520,"AIR-CT5508-K9, AIR-CT5520-K9",Wireless,Campus Wireless LAN Controller (legacy),AireOS,8.10.190.0,8.10.190.0,EOL,SRC-104,Legacy standalone WLC platform (2010-2020 era). 5508 supports up to 500 APs; 5520 up to 1500 APs. EoS 2018-2020; EoSWM reached. Migrate to Catalyst 9800.,2026-05-28
WLS-009,Cisco WLC 8500,8510 / 8540,"AIR-CT8510-K9, AIR-CT8540-K9",Wireless,Large Campus / SP Wireless LAN Controller (legacy),AireOS,8.10.190.0,8.10.190.0,EOL,SRC-104,High-capacity legacy WLC. 8510 supports up to 3000 APs; 8540 up to 6000 APs. EoS 2020; EoSWM reached. Migrate to Catalyst 9800-80 or 9800-CL.,2026-05-28
WLS-010,Aironet 3700 / 3600 / 2700 / 1700,3702 / 3602 / 2702 / 1702,"AIR-CAP3702I-B-K9, AIR-CAP3602I-B-K9, AIR-CAP2702I-B-K9, AIR-CAP1702I-B-K9",Wireless,Wi-Fi 4 / early Wi-Fi 5 (802.11n/ac Wave 1) APs (legacy),AireOS,8.5.182.0,8.5.182.0,EOL,SRC-105,802.11n (1700) and 802.11ac Wave 1 (2700/3600/3700) APs from the 2012-2016 era. EoS 2017-2019; EoSWM reached. Migrate to Catalyst 9100.,2026-05-28
